Time, Heater, Temperature
3612.859762,37,49.902
3613.861285,37,49.902
3614.851586,45,49.902
3615.853106,45,49.902
3616.843366,45,49.902
3617.844901,45,49.902
3618.835184,45,49.902
3619.836717,45,49.967
3620.826914,45,49.935
3621.828522,45,50.031
3622.818737,45,50.128
3623.819946,45,50.192
3624.810515,45,50.16
3625.811753,45,50.096
3626.802243,45,50.16
3627.803462,45,50.096
3628.794052,45,50.16
3629.795244,45,50.063
3630.785678,45,50.096
3631.787069,45,50.192
3632.777192,45,50.225
3633.778844,45,50.225
3634.768999,45,50.225
3635.770694,45,50.225
3636.760803,45,50.225
3637.762518,45,50.225
3638.752606,45,50.225
3639.754354,45,50.225
3640.744395,45,50.225
3641.746159,45,50.225
3642.736155,45,50.547
3643.737991,45,50.547
3644.727953,45,50.547
3645.72964,45,50.547
3646.719731,45,50.547
3647.721487,45,50.547
3648.711524,45,50.547
3649.713168,45,50.547
3650.703347,45,50.547
3651.704978,45,50.547
3652.695134,45,50.547
3653.696609,45,50.547
3654.686826,45,50.418
3655.688398,45,50.418
3656.678626,45,50.45
3657.680218,45,50.515
3658.67045,45,50.547
3659.672003,45,50.547
3660.662273,45,50.547
3661.663841,45,50.579
3662.653966,45,50.579
3663.655648,45,50.611
3664.645772,45,50.805
3665.647484,45,50.805
3666.637563,45,50.837
3667.639308,45,50.869
3668.629355,45,50.869
3669.63116,45,50.869
3670.621181,45,50.869
3671.622994,45,50.998
3672.612981,45,51.03
3673.614825,45,50.869
3674.604774,45,51.03
3675.606611,45,51.127
3676.596588,45,51.191
3677.59841,45,51.191
3678.588403,45,51.191
3679.590234,45,51.191
3680.580242,45,51.191
3681.581903,45,51.256
3682.572049,45,51.32
3683.573743,45,51.449
3684.563874,45,51.353
3685.565321,45,51.32
3686.55565,45,51.32
3687.557134,45,51.288
3688.547341,45,51.449
3689.548921,45,51.514
3690.539122,45,51.514
3691.540578,45,51.514
3692.530964,45,51.514
3693.532427,45,51.514
3694.522738,45,51.514
3695.524235,45,51.514
3696.514556,45,51.643
3697.516042,45,51.546
3698.506335,45,51.836
3699.507583,45,51.836
3700.498155,45,51.836
3701.499425,45,51.836
3702.489983,45,51.836
3703.491211,45,52.094
3704.481768,45,52.158
3705.48306,45,52.158
3706.473573,45,52.158
3707.474881,45,52.158
3708.465113,45,52.158
3709.466681,45,52.158
3710.456688,45,52.158
3711.458108,45,52.158
3712.448486,45,52.19
3713.449928,45,52.255
3714.44031,45,52.48
3715.441757,45,52.48
3716.431648,45,52.48
3717.433581,45,52.48
3718.423464,45,52.48
3719.425385,45,52.48
3720.415264,45,52.513
3721.417224,45,52.674
3722.407095,45,52.706
3723.409048,45,52.803
3724.398916,45,52.803
3725.40084,45,52.803
3726.390708,45,52.803
3727.392679,45,52.803
3728.382503,45,52.803
3729.384472,45,52.803
3730.374307,45,52.803
3731.376309,45,52.803
3732.366095,45,52.803
3733.368132,45,52.803
3734.357489,45,52.835
3735.359961,49,53.061
3736.348979,49,53.028
3737.351767,49,53.125
3738.34076,49,53.125
3739.343609,49,53.157
3740.33259,49,53.351
3741.335402,49,53.415
3742.324362,49,53.447
3743.327128,49,53.447
3744.316171,49,53.447
3745.318914,49,53.512
3746.308007,49,53.512
3747.310708,49,53.544
3748.299629,49,53.673
3749.302483,49,53.77
3750.291023,49,53.77
3751.294259,49,53.77
3752.282795,49,53.898
3753.2861,49,54.06
3754.274175,49,54.092
3755.277916,49,54.092
3756.265989,49,54.092
3757.269722,49,54.027
3758.257635,49,54.027
3759.260797,49,53.802
3760.249417,49,53.866
3761.252617,49,53.931
3762.240895,49,53.931
3763.244038,49,53.834
3764.232201,49,53.834
3765.235836,49,53.931
3766.224016,49,53.931
3767.22764,49,54.092
3768.215803,49,54.092
3769.219466,49,54.092
3770.207611,49,54.253
3771.211295,49,54.414
3772.199402,49,54.414
3773.203108,49,54.414
3774.191188,49,54.414
3775.194951,49,54.607
3776.182992,49,54.704
3777.18676,49,54.736
3778.17482,49,54.736
3779.178579,49,54.736
3780.166657,49,54.736
3781.170423,49,54.736
3782.158461,49,54.736
3783.162152,49,54.736
3784.150245,49,54.736
3785.153593,49,54.736
3786.142036,49,54.769
3787.14541,49,54.865
3788.133861,49,54.833
3789.136608,49,54.833
3790.125421,49,54.93
3791.128422,49,55.026
3792.116617,49,55.059
3793.120249,49,55.059
3794.108455,49,55.059
3795.112018,49,55.059
3796.100354,49,55.059
3797.103842,49,55.091
3798.092139,49,55.059
3799.095631,49,55.059
3800.083714,49,55.059
3801.087476,49,55.059
3802.075521,49,55.059
3803.079279,49,55.059
3804.067305,49,55.091
3805.071133,49,55.059
3806.059121,49,55.059
3807.062953,49,55.091
3808.050915,49,55.059
3809.054785,49,55.188
3810.042693,49,55.381
3811.046599,49,55.381
3812.034505,49,55.381
3813.038433,49,55.381
3814.026302,49,55.155
3815.030274,49,55.381
3816.017984,49,55.381
3817.021675,49,55.349
3818.009382,49,55.349
3819.013237,49,55.381
3820.001169,49,55.381
3821.00502,49,55.381
3821.992958,49,55.381
3822.996814,49,55.381
3823.984747,49,55.381
3824.988599,49,55.381
3825.97654,49,55.381
3826.980427,49,55.51
3827.968357,49,55.574
3828.972264,49,55.574
3829.960142,49,55.51
3830.96409,49,55.413
3831.951953,49,55.445
3832.955908,49,55.445
3833.943708,49,55.413
3834.947739,49,55.413
3835.935481,49,55.445
3836.939533,49,55.478
3837.92724,49,55.703
3838.931371,49,55.703
3839.919049,49,55.735
3840.923189,49,55.8
3841.910857,49,56.025
3842.914991,49,56.025
3843.902653,49,56.025
3844.906777,49,56.058
3845.894469,49,56.025
3846.898583,49,56.025
3847.88628,49,56.025
3848.890389,49,56.315
3849.877955,49,56.348
3850.882065,49,56.348
3851.86955,49,56.348
3852.873882,49,56.38
3853.86134,49,56.412
3854.865316,49,56.605
3855.853128,32,56.67
3856.856983,32,56.67
3857.8448,32,56.67
3858.848679,32,56.67
3859.83643,32,56.67
3860.840333,32,56.734
3861.828136,32,56.896
3862.832038,32,56.96
3863.819773,32,56.863
3864.8237,32,56.96
3865.811405,32,56.734
3866.815388,32,56.67
3867.803067,32,56.67
3868.80705,32,56.67
3869.794708,32,56.67
3870.798719,32,56.67
3871.786355,32,56.67
3872.790338,32,56.67
3873.778017,32,56.67
3874.782002,32,56.67
3875.769686,32,56.67
3876.773659,32,56.67
3877.761365,32,56.638
3878.765351,32,56.477
3879.753018,32,56.38
3880.756978,32,56.348
3881.744651,32,56.348
3882.748668,32,56.219
3883.736307,32,56.058
3884.740369,32,56.025
3885.72737,32,55.8
3886.732064,32,55.703
3887.719015,32,55.703
3888.723763,32,55.671
3889.710617,32,55.606
3890.715453,32,55.381
3891.702253,32,55.381
3892.707155,32,55.22
3893.693873,32,55.091
3894.698818,32,55.059
3895.685347,32,55.059
3896.690427,32,55.059
3897.676696,32,55.059
3898.681941,32,55.059
3899.668346,32,55.059
3900.673654,32,54.93
3901.659832,32,54.736
3902.6653,32,54.736
3903.651476,32,54.607
3904.656982,32,54.479
3905.643159,32,54.414
3906.648699,32,54.414
3907.63482,32,54.414
3908.640394,32,54.221
3909.626482,32,54.092
3910.632053,32,54.092
3911.617945,32,54.092
3912.623748,32,54.092
3913.60962,32,53.995
3914.615438,32,53.802
3915.601234,32,53.77
3916.607116,32,53.77
3917.59291,32,53.77
3918.59878,32,53.77
3919.584516,32,53.77
3920.59048,32,53.77
3921.576201,32,53.77
3922.58203,32,53.77
3923.567833,32,53.77
3924.57351,32,53.479
3925.559476,32,53.447
3926.565177,32,53.383
